No.,user_id,display_name,team_count
328,"864668852515127296","ThunderZak",1
329,"614585653333676032","tjmoreci",1
330,"457291838567477248","tkae",1
331,"991155918584840192","Tmill85",2
332,"1250205930843283456","tnt2112",1
333,"464600800467873792","ToastyWaffles",2
334,"883107544615419904","tomcat12",1
335,"98512113253105664","tonybologna69",4
336,"456049926120402944","Tortoise",13
337,"812807295183454208","TraderClem",44
338,"730302372030578688","treymonty",1
339,"732191241239916544","tungalicious",1
340,"472571658180227072","TuxAllen",3
341,"734603546128961536","TylerH517",2
342,"609817786394406912","TySegall",17
343,"908887416939667456","Tyswatta",1
344,"782294685862461440","ume6t9",1
345,"478342938061959168","unclechris",2
346,"1208653735857762304","Unconsclous",1
347,"739757848267022336","UnkoKems",2
348,"857351619191402496","Veen",2
349,"337777938567020544","vikitaru",1
350,"604447934167203840","Wangotango396",1
351,"865681984834408448","warsew",1
352,"425180641005404160","westLEX",58
353,"799433648028880896","WhiteGucci",1
354,"474002770437861376","Whiteknight1988",10
355,"1170408475118157824","Wilson870",1
356,"741535193520869376","WORKnGRIND",1
357,"993680439116099584","wrldsrus",1
358,"1197803088103100416","ws24",2
359,"662420707078115328","xanrol",1
360,"743596180637921280","xStoneyy",22
361,"796558298571702272","Yaninho721",3
362,"1001568400189034496","Yeeyuh",1
363,"471334871214583808","YFBxDavid",1
364,"932015652414574592","Yupperuski",1
365,"993423160148025344","zacho18",6
366,"866356317755973633","ZachWilsonFan5",3
367,"1060424023508738048","zackalitus88",1
368,"722130473156947968","ZiggyAwesomeX",11
369,"461292007994683392","zimm42",3
370,"846893031394250752","Zpeiffer85",1
371,"466782304572796928","zready63",1
372,"683458449475964928","Zubicus",41
